id,name,value,change,date
78,NSE 25 SHARE INDEX,"3,103.53",-1.53 ,2022-11-03
77,NSE 20 SHARE INDEX,"1,682.55",-1.60 ,2022-11-03
63,NSE 25 SHARE INDEX,"3,122.13",0.45 ,2022-10-31
75,ETF Turnover in KES,0.00,0.00 ,2022-10-31
74,ETF in Units-Total Deals,0.00,0.00 ,2022-10-31
73,TOTAL DERIVATIVES VOLUME,29.00,18.00 ,2022-10-31
72,TOTAL DERIVATIVES OPEN INTEREST,300.00,-7.00 ,2022-10-31
71,TOTAL DERIVATIVES DEALS,12.00,10.00 ,2022-10-31
70,DERIVATIVES TURNOVER,"969,725.00","826,725.00 ",2022-10-31
69,TOTAL I-REIT DEALS,5.00,-5.00 ,2022-10-31
61,NSE ALL SHARE INDEX,128.80,0.37 ,2022-10-31
68,I-REIT TURNOVER,"26,974.00","-12,376.00 ",2022-10-31
67,TOTAL EQUITY DEALS,"1,107.00",-179.00 ,2022-10-31
66,EQUITY TURNOVER,"104,437,658.10","-174,659,636.45 ",2022-10-31
65,TOTAL SHARE TRADED,"5,315,600.00","-7,089,400.00 ",2022-10-31
64,MARKET CAPITALIZATION,"2,006.85",5.77 ,2022-10-31
62,NSE 20 SHARE INDEX,"1,677.76",-2.35 ,2022-10-31
23,I-REIT TURNOVER,"39,350.00","33,140.00 ",2022-10-28
16,NSE ALL SHARE INDEX,128.43,-1.20 ,2022-10-28
17,NSE 20 SHARE INDEX,"1,680.11",-12.42 ,2022-10-28
18,NSE 25 SHARE INDEX,"3,121.68",-15.11 ,2022-10-28
19,MARKET CAPITALIZATION,"2,001.08",-18.68 ,2022-10-28
20,TOTAL SHARE TRADED,"12,405,000.00","5,580,300.00 ",2022-10-28
21,EQUITY TURNOVER,"279,097,294.55","119,310,515.56 ",2022-10-28
22,TOTAL EQUITY DEALS,"1,286.00",392.00 ,2022-10-28
24,TOTAL I-REIT DEALS,10.00,6.00 ,2022-10-28
25,DERIVATIVES TURNOVER,"143,000.00","-70,990.00 ",2022-10-28
26,TOTAL DERIVATIVES DEALS,2.00,-3.00 ,2022-10-28
27,TOTAL DERIVATIVES OPEN INTEREST,307.00,10.00 ,2022-10-28
28,TOTAL DERIVATIVES VOLUME,11.00,5.00 ,2022-10-28
29,ETF in Units-Total Deals,0.00,0.00 ,2022-10-28
30,ETF Turnover in KES,0.00,0.00 ,2022-10-28
1,NSE ALL SHARE INDEX,128.68,1.33 ,2022-10-26
15,ETF Turnover in KES,0.00,0.00 ,2022-10-26
14,ETF in Units-Total Deals,0.00,0.00 ,2022-10-26
13,TOTAL DERIVATIVES VOLUME,2.00,-1.00 ,2022-10-26
12,TOTAL DERIVATIVES OPEN INTEREST,298.00,0.00 ,2022-10-26
11,TOTAL DERIVATIVES DEALS,1.00,-2.00 ,2022-10-26
10,DERIVATIVES TURNOVER,"100,000.00","-34,250.00 ",2022-10-26
9,TOTAL I-REIT DEALS,4.00,0.00 ,2022-10-26
8,I-REIT TURNOVER,"10,336.00","-11,642.00 ",2022-10-26
7,TOTAL EQUITY DEALS,"1,153.00",-80.00 ,2022-10-26
6,EQUITY TURNOVER,"756,877,206.22","395,997,302.41 ",2022-10-26
5,TOTAL SHARE TRADED,"21,407,400.00","9,995,700.00 ",2022-10-26
4,MARKET CAPITALIZATION,"2,004.92",20.79 ,2022-10-26
3,NSE 25 SHARE INDEX,"3,123.99",12.94 ,2022-10-26
2,NSE 20 SHARE INDEX,"1,694.11",-5.70 ,2022-10-26
94,MARKET CAPITALIZATION,"1,999.00",-22.32 ,2022-10-21
105,ETF Turnover in KES,0.00,0.00 ,2022-10-21
104,ETF in Units-Total Deals,0.00,0.00 ,2022-10-21
103,TOTAL DERIVATIVES VOLUME,0.00,-7.00 ,2022-10-21
102,TOTAL DERIVATIVES OPEN INTEREST,292.00,2.00 ,2022-10-21
101,TOTAL DERIVATIVES DEALS,0.00,-6.00 ,2022-10-21
100,DERIVATIVES TURNOVER,0.00,"-173,070.00 ",2022-10-21
99,TOTAL I-REIT DEALS,23.00,14.00 ,2022-10-21
98,I-REIT TURNOVER,"969,748.00","934,564.00 ",2022-10-21
